Sport,Event,,Category,Category List:
Soccer,goalkeeper_distribution_throw,,Transition,
Soccer,goalkeeper_distribution_kick,,Transition,
Soccer,goalkeeper_distribution_dropkick,,Transition,
Soccer,corner_short,,Transition,
Soccer,corner_cross,,Offensive,
Soccer,corner_in_swinging,,Offensive,
Soccer,corner_out_swinging,,Offensive,
Soccer,corner_tapped,,Offensive,
Soccer,free_kick_direct,,Offensive,
Soccer,free_kick_indirect,,Transition,
Soccer,free_kick_cross,,Offensive,
Soccer,free_kick_shot,,Offensive,
Soccer,throw_in_short,,Transition,
Soccer,throw_in_long,,Transition,
Soccer,goal_kick_short,,Transition,
Soccer,goal_kick_long,,Offensive,
Soccer,kickoff_start,,Neutral,
Soccer,kickoff_restart,,Neutral,
Soccer,dropped_ball,,Error,
Soccer,counterattack_start,,Offensive,
Soccer,counterattack_end,,Neutral,
Soccer,transition_attack,,Offensive,
Soccer,transition_defense,,Defensive,
Soccer,regain_possession,,Defensive,
Soccer,lose_possession,,Error,
Soccer,counterpress,,Offensive,
Soccer,counterpress_regain,,Offensive,
Soccer,regroup_phase,,Defensive,
Soccer,error_leading_to_shot,,Offensive,
Soccer,error_leading_to_goal,,Offensive,
Soccer,error_bad_touch,,Error,
Soccer,error_miscontrol,,Error,
Soccer,error_poor_pass,,Error,
Soccer,error_failed_clearance,,Error,
Soccer,goalkeeper_error_loss,,Error,
Soccer,defender_error_loss,,Error,
Soccer,midfield_error_loss,,Error,
Soccer,ball_recovery,,Defensive,
Soccer,ball_recovery_head,,Defensive,
Soccer,ball_recovery_feet,,Defensive,
Soccer,loose_ball_duel,,Error,
Soccer,loose_ball_won,,Offensive,
Soccer,loose_ball_lost,,Error,
Soccer,substitution_on,,Neutral,
Soccer,substitution_off,,Neutral,
Soccer,half_start,,Neutral,
Soccer,half_end,,Neutral,
Soccer,referee_drop_ball,,Neutral,
Soccer,injury_stoppage,,Error,
Soccer,cooling_break,,Neutral,
Soccer,var_review_start,,Neutral,
Soccer,var_review_end,,Neutral,
Soccer,dribbled_past,,Transition,
Soccer,shield,,Defensive,
Soccer,fifty_fifty,,Neutral,
Soccer,ball_out_of_play,,Error,
Soccer,miscontrol_high_ball,,Error,
Soccer,miscontrol_ground_ball,,Error,
Soccer,dispossessed_in_defensive_third,,Error,
Soccer,dispossessed_in_final_third,,Error,
Soccer,goalkeeper_punch_clear,,Defensive,
Soccer,goalkeeper_cross_missed,,Error,
Soccer,goalkeeper_penalty_save,,Defensive,
Soccer,goalkeeper_penalty_conceded,,Defensive,
Soccer,second_ball_won,,Transition,
Soccer,second_ball_lost,,Error,
Soccer,touchline_clearance,,Defensive,
Soccer,headed_clearance_wide,,Defensive,
Soccer,shot_rebound_chance,,Offensive,
Soccer,shot_second_phase,,Offensive,
Soccer,set_piece_routine_short,,Transition,
Soccer,set_piece_routine_long,,Transition,
Soccer,marking_tight,,Defensive,
Soccer,marking_loose,,Defensive,
Soccer,overlap_run,,Transition,
Soccer,underlap_run,,Transition,
Soccer,dummy_run,,Transition,
Soccer,feint_dribble,,Transition,
Soccer,time_wasting_incident,,Defensive,
Soccer,long_hoof_clearance,,Defensive,
Soccer,scramble_clearance,,Defensive,
Soccer,smart_pass,,Transition,
Soccer,through_pass,,Transition,
Soccer,progressive_run,,Transition,
Soccer,progressive_pass,,Transition,
Soccer,deep_completion,,Offensive,
Soccer,deep_carry,,Transition,
Soccer,deep_cross,,Offensive,
Soccer,lofted_pass,,Neutral,
Soccer,chip_pass,,Neutral,
Soccer,long_ball_dangerous,,Neutral,
Soccer,short_combination,,Offensive,
Soccer,one_touch_pass,,Neutral,
Soccer,shot_assist,,Offensive,
Soccer,key_pass_secondary,,Transition,
Soccer,challenged_header,,Neutral,
Soccer,aerial_duel_no_touch,,Neutral,
Soccer,ground_duel_win_clean,,Offensive,
Soccer,ground_duel_win_foul,,Error,
Soccer,ground_duel_loss_clean,,Neutral,
Soccer,ground_duel_loss_foul,,Error,
Soccer,loose_ball_win,,Neutral,
Soccer,loose_ball_loss,,Error,
Soccer,dangerous_dribble,,Offensive,
Soccer,dribble_pressure_invite,,Defensive,
Soccer,carry_pressure_escape,,Defensive,
Soccer,carry_opportunity_creation,,Defensive,
Soccer,pressing_duel,,Defensive,
Soccer,pressing_support,,Defensive,
Soccer,counterpress_action,,Offensive,
Soccer,ball_gain,,Offensive,
