event_name,sport,category
goalkeeper_cross_missed,soccer,error
goalkeeper_penalty_save,soccer,defensive
goalkeeper_penalty_conceded,soccer,defensive
second_ball_won,soccer,transition
second_ball_lost,soccer,error
touchline_clearance,soccer,defensive
headed_clearance_wide,soccer,defensive
shot_rebound_chance,soccer,offensive
shot_second_phase,soccer,offensive
set_piece_routine_short,soccer,transition
set_piece_routine_long,soccer,transition
marking_tight,soccer,defensive
marking_loose,soccer,defensive
overlap_run,soccer,transition
underlap_run,soccer,transition
dummy_run,soccer,transition
feint_dribble,soccer,transition
time_wasting_incident,soccer,defensive
long_hoof_clearance,soccer,defensive
scramble_clearance,soccer,defensive
smart_pass,soccer,transition
through_pass,soccer,transition
progressive_run,soccer,transition
progressive_pass,soccer,transition
deep_completion,soccer,offensive
deep_carry,soccer,transition
deep_cross,soccer,offensive
lofted_pass,soccer,neutral
chip_pass,soccer,neutral
long_ball_dangerous,soccer,neutral
short_combination,soccer,offensive
one_touch_pass,soccer,neutral
shot_assist,soccer,offensive
key_pass_secondary,soccer,transition
challenged_header,soccer,neutral
aerial_duel_no_touch,soccer,neutral
ground_duel_win_clean,soccer,offensive
ground_duel_win_foul,soccer,error
ground_duel_loss_clean,soccer,neutral
ground_duel_loss_foul,soccer,error
loose_ball_win,soccer,neutral
loose_ball_loss,soccer,error
dangerous_dribble,soccer,offensive
dribble_pressure_invite,soccer,defensive
carry_pressure_escape,soccer,defensive
carry_opportunity_creation,soccer,defensive
pressing_duel,soccer,defensive
pressing_support,soccer,defensive
counterpress_action,soccer,offensive
ball_gain,soccer,offensive
body_kick_entry,ufc,defensive
frame_entry,ufc,defensive
uppercut_combo,ufc,transition
level_change_error,ufc,defensive
block_chain,ufc,neutral
back_take_combo,ufc,error
half_guard_success,ufc,neutral
feint_chain,ufc,neutral
hook_landed,ufc,offensive
hook_recovery,ufc,error
double_leg_failed,ufc,defensive
uppercut_entry,ufc,neutral
back_take_pressure,ufc,error
pivot_combo,ufc,defensive
slam_recovery,ufc,transition
escape_error,ufc,transition
escape_combo,ufc,offensive
half_guard_error,ufc,error
pivot_entry,ufc,error
mount_transition,ufc,transition
hook_entry,ufc,error
half_guard_chain,ufc,defensive
guard_pass_pressure,ufc,defensive
block_entry,ufc,transition
single_leg_pressure,ufc,neutral
knee_chain,ufc,transition
leg_kick_error,ufc,transition
double_leg_landed,ufc,error
pivot_attempt,ufc,offensive
uppercut_attempt,ufc,transition
back_take_counter,ufc,neutral
feint_success,ufc,offensive
ground_strike_pressure,ufc,offensive
guard_pass_exit,ufc,defensive
takedown_entry,ufc,offensive
knee_combo,ufc,neutral
check_error,ufc,neutral
check_pressure,ufc,neutral
slam_entry,ufc,neutral
hook_success,ufc,offensive
ground_strike_failed,ufc,error
pivot_success,ufc,error
leg_kick_counter,ufc,neutral
feint_followup,ufc,error
block_pressure,ufc,error
elbow_counter,ufc,neutral
parry_pressure,ufc,neutral
clinch_landed,ufc,error
mount_failed,ufc,neutral
throw_exit,ufc,neutral
guard_pass_failed,ufc,offensive
takedown_chain,ufc,offensive
throw_chain,ufc,offensive
check_failed,ufc,transition
mount_entry,ufc,offensive
cut_angle_entry,ufc,neutral
back_take_failed,ufc,transition
double_leg_transition,ufc,offensive
level_change_recovery,ufc,neutral
pivot_followup,ufc,neutral
probe_success,ufc,neutral
check_entry,ufc,defensive
cut_angle_counter,ufc,offensive
guard_pass_combo,ufc,defensive
half_guard_failed,ufc,error
body_kick_pressure,ufc,transition
jab_attempt,ufc,defensive
hook_chain,ufc,offensive
kick_chain,ufc,neutral
kick_pressure,ufc,offensive
parry_landed,ufc,transition
kick_error,ufc,neutral
dirty_boxing_recovery,ufc,error
probe_followup,ufc,transition
clinch_exit,ufc,error
slam_pressure,ufc,error
double_leg_error,ufc,neutral
cut_angle_failed,ufc,defensive
parry_attempt,ufc,offensive
back_take_chain,ufc,neutral
block_transition,ufc,neutral
elbow_failed,ufc,transition
level_change_entry,ufc,error
scramble_entry,ufc,defensive
dirty_boxing_exit,ufc,defensive
sprawl_transition,ufc,transition
feint_entry,ufc,defensive
leg_kick_failed,ufc,neutral
parry_exit,ufc,offensive
escape_pressure,ufc,neutral
frame_counter,ufc,neutral
pivot_landed,ufc,error
sprawl_error,ufc,neutral
mount_success,ufc,transition
kick_entry,ufc,transition
clinch_success,ufc,defensive
half_guard_pressure,ufc,defensive
uppercut_exit,ufc,error
clinch_attempt,ufc,offensive
hook_combo,ufc,error
scramble_followup,ufc,neutral
takedown_exit,ufc,neutral
dirty_boxing_error,ufc,offensive
slam_landed,ufc,error
uppercut_error,ufc,defensive
cross_chain,ufc,error
scramble_counter,ufc,defensive
takedown_pressure,ufc,neutral
single_leg_recovery,ufc,error
parry_combo,ufc,neutral
leg_kick_transition,ufc,defensive
back_take_error,ufc,defensive
kick_transition,ufc,neutral
uppercut_followup,ufc,defensive
dirty_boxing_entry,ufc,defensive
scramble_pressure,ufc,error
block_combo,ufc,error
double_leg_counter,ufc,neutral
kick_success,ufc,neutral
slam_success,ufc,transition
throw_recovery,ufc,neutral
block_success,ufc,error
probe_exit,ufc,neutral
throw_pressure,ufc,neutral
knee_landed,ufc,neutral
pivot_chain,ufc,neutral
frame_followup,ufc,error
check_attempt,ufc,defensive
leg_kick_chain,ufc,neutral
check_counter,ufc,offensive
takedown_combo,ufc,defensive
kick_counter,ufc,defensive
frame_attempt,ufc,transition
uppercut_recovery,ufc,offensive
hook_failed,ufc,transition
feint_error,ufc,transition
uppercut_transition,ufc,transition
level_change_followup,ufc,defensive
ground_strike_entry,ufc,defensive
head_kick_landed,ufc,defensive
level_change_counter,ufc,transition
throw_attempt,ufc,error
ground_strike_counter,ufc,neutral
jab_landed,ufc,transition
cut_angle_transition,ufc,neutral
ground_strike_success,ufc,defensive
level_change_failed,ufc,error
takedown_success,ufc,defensive
takedown_attempt,ufc,offensive
guard_pass_entry,ufc,error
back_take_entry,ufc,transition
escape_chain,ufc,transition
throw_landed,ufc,transition
elbow_success,ufc,defensive
throw_followup,ufc,transition
slam_combo,ufc,transition
double_leg_recovery,ufc,neutral
scramble_combo,ufc,defensive
parry_transition,ufc,defensive
ground_strike_attempt,ufc,defensive
half_guard_transition,ufc,offensive
jab_entry,ufc,transition
uppercut_failed,ufc,neutral
knee_error,ufc,transition
check_chain,ufc,neutral
probe_pressure,ufc,offensive
uppercut_pressure,ufc,neutral
trip_success,ufc,transition
ground_strike_recovery,ufc,error
sprawl_entry,ufc,error
reversal_followup,ufc,transition
cut_angle_followup,ufc,transition
escape_exit,ufc,error
clinch_transition,ufc,offensive
sprawl_followup,ufc,defensive
jab_failed,ufc,offensive
jab_success,ufc,neutral
head_kick_chain,ufc,transition
pivot_pressure,ufc,neutral
escape_success,ufc,error
escape_entry,ufc,transition
cross_combo,ufc,offensive
sprawl_pressure,ufc,neutral
clinch_counter,ufc,offensive
elbow_exit,ufc,transition
sprawl_failed,ufc,neutral
slam_attempt,ufc,transition
escape_transition,ufc,neutral
half_guard_landed,ufc,defensive
body_kick_landed,ufc,neutral
guard_pass_recovery,ufc,offensive
cross_pressure,ufc,defensive
guard_pass_success,ufc,offensive
cross_followup,ufc,neutral
check_combo,ufc,neutral
dirty_boxing_combo,ufc,error
elbow_followup,ufc,error
cut_angle_error,ufc,error
body_kick_attempt,ufc,offensive
trip_exit,ufc,defensive
single_leg_chain,ufc,error
takedown_landed,ufc,defensive
probe_counter,ufc,error
knee_success,ufc,defensive
sprawl_attempt,ufc,defensive
elbow_chain,ufc,neutral
double_leg_success,ufc,transition
scramble_landed,ufc,defensive
takedown_followup,ufc,transition
elbow_error,ufc,error
guard_pass_attempt,ufc,neutral
mount_pressure,ufc,error
block_exit,ufc,neutral
body_kick_exit,ufc,error
back_take_attempt,ufc,transition
ground_strike_landed,ufc,error
single_leg_exit,ufc,neutral
cut_angle_recovery,ufc,error
pivot_exit,ufc,transition
uppercut_chain,ufc,offensive
kick_attempt,ufc,offensive
pivot_failed,ufc,defensive
slam_counter,ufc,offensive
elbow_attempt,ufc,error
slam_chain,ufc,defensive
frame_landed,ufc,transition
parry_followup,ufc,error
takedown_counter,ufc,transition
sprawl_chain,ufc,defensive
head_kick_failed,ufc,neutral
block_landed,ufc,defensive
dirty_boxing_transition,ufc,defensive
leg_kick_exit,ufc,defensive
throw_error,ufc,error
jab_pressure,ufc,neutral
dirty_boxing_followup,ufc,neutral
cross_exit,ufc,neutral
single_leg_landed,ufc,offensive
sprawl_success,ufc,neutral
hook_exit,ufc,defensive
clinch_followup,ufc,offensive
guard_pass_chain,ufc,defensive
feint_failed,ufc,defensive
ground_strike_combo,ufc,transition
feint_landed,ufc,error
clinch_error,ufc,transition
head_kick_counter,ufc,defensive
trip_failed,ufc,error
clinch_chain,ufc,neutral
trip_transition,ufc,defensive
escape_recovery,ufc,defensive
cross_transition,ufc,error
throw_transition,ufc,error
body_kick_failed,ufc,error
body_kick_followup,ufc,transition
double_leg_pressure,ufc,offensive
head_kick_attempt,ufc,error
ground_strike_error,ufc,error
level_change_chain,ufc,transition
kick_exit,ufc,transition
cut_angle_success,ufc,transition
single_leg_attempt,ufc,defensive
pivot_counter,ufc,offensive
uppercut_counter,ufc,neutral
body_kick_combo,ufc,error
double_leg_exit,ufc,neutral
single_leg_transition,ufc,offensive
frame_transition,ufc,transition
jab_counter,ufc,defensive
head_kick_combo,ufc,offensive
trip_pressure,ufc,neutral
head_kick_followup,ufc,error
parry_entry,ufc,offensive
reversal_combo,ufc,neutral
probe_recovery,ufc,error
block_error,ufc,transition
knee_transition,ufc,transition
body_kick_transition,ufc,transition
mount_followup,ufc,defensive
slam_failed,ufc,transition
cut_angle_chain,ufc,defensive
single_leg_success,ufc,offensive
block_counter,ufc,transition
level_change_transition,ufc,transition
clinch_pressure,ufc,transition
parry_chain,ufc,transition
slam_followup,ufc,offensive
cross_attempt,ufc,transition
dirty_boxing_pressure,ufc,offensive
half_guard_combo,ufc,defensive
trip_followup,ufc,offensive
sprawl_counter,ufc,transition
parry_recovery,ufc,error
slam_error,ufc,error
scramble_error,ufc,transition
level_change_exit,ufc,defensive
dirty_boxing_failed,ufc,error
mount_error,ufc,error
elbow_entry,ufc,defensive
feint_transition,ufc,neutral
dirty_boxing_counter,ufc,transition
half_guard_entry,ufc,neutral
head_kick_success,ufc,error
body_kick_success,ufc,transition
double_leg_combo,ufc,neutral
cut_angle_exit,ufc,defensive
leg_kick_followup,ufc,neutral
pivot_transition,ufc,defensive
head_kick_recovery,ufc,neutral
half_guard_exit,ufc,offensive
mount_exit,ufc,transition
trip_landed,ufc,offensive
scramble_recovery,ufc,error
block_recovery,ufc,offensive
reversal_recovery,ufc,neutral
body_kick_counter,ufc,neutral
throw_failed,ufc,transition
jab_recovery,ufc,neutral
double_leg_attempt,ufc,neutral
slam_transition,ufc,neutral
parry_counter,ufc,offensive
feint_exit,ufc,transition
body_kick_recovery,ufc,neutral
check_followup,ufc,neutral
dirty_boxing_landed,ufc,error
throw_counter,ufc,offensive
probe_failed,ufc,transition
trip_counter,ufc,neutral
level_change_attempt,ufc,offensive
probe_combo,ufc,neutral
jab_followup,ufc,neutral
cut_angle_landed,ufc,neutral
block_followup,ufc,error
jab_transition,ufc,transition
dirty_boxing_chain,ufc,neutral
ground_strike_exit,ufc,defensive
frame_combo,ufc,neutral
trip_error,ufc,defensive
single_leg_followup,ufc,offensive
throw_success,ufc,offensive
hook_attempt,ufc,transition
check_landed,ufc,error
frame_error,ufc,defensive
dirty_boxing_success,ufc,error
back_take_landed,ufc,transition
escape_counter,ufc,neutral
level_change_landed,ufc,defensive
kick_landed,ufc,error
cross_landed,ufc,defensive
parry_error,ufc,neutral
ace,tennis,offensive
winning_shot,tennis,offensive
retrieved,tennis,defensive
double_fault,tennis,error
code_violation,tennis,error
ball_abuse,tennis,error
aggresive_conduct,tennis,error
conduct_default,tennis,error
let,tennis,neutral
semifinals,tennis,neutral
main_draw,tennis,neutral
qualifying,tennis,neutral
tie_break,tennis,neutral
retirement,tennis,error
withdraws,tennis,error
defaulted,tennis,error
late_withdrawal,tennis,error
warm_up,tennis,neutral
set,tennis,neutral
match,tennis,neutral
forehand_winner,tennis,offensive
backhand_winner,tennis,offensive
inside_out_forehand,tennis,offensive
inside_in_forehand,tennis,offensive
overhead_smash,tennis,offensive
volley_winner,tennis,offensive
half_volley,tennis,defensive
serve_winner,tennis,offensive
drop_shot_winner,tennis,offensive
passing_shot,tennis,offensive
approach_shot_winner,tennis,offensive
aggresive_return,tennis,offensive
body_serve,tennis,offensive
defensive_slice,tennis,defensive
defensive_lob,tennis,defensive
moonball,tennis,defensive
blocked_return,tennis,defensive
chip_return,tennis,defensive
stretch_forehand,tennis,defensive
stretch_backhand,tennis,defensive
running_defensive_shot,tennis,defensive
flick_defensive_shot,tennis,defensive
squash_shot,tennis,defensive
unforced_error,tennis,error
forced_error,tennis,error
mishit,tennis,error
shank,tennis,error
netted_shot,tennis,error
wide_shot,tennis,error
frame_shot,tennis,error
first_serve_fault,tennis,error
second_serve_fault,tennis,error
foot_fault,tennis,error
approach_shot,tennis,transition
drop_shot,tennis,transition
slice_approach_shot,tennis,transition
serve_and_volley,tennis,transition
chip_and_charge,tennis,transition
forehand,tennis,neutral
backhand,tennis,neutral
top_spin,tennis,neutral
return,tennis,neutral
slice,tennis,neutral
volley,tennis,neutral
kick_serve,tennis,offensive
flat_serve,tennis,offensive
slice_serve,tennis,offensive
crosscourt_shot,tennis,offensive
down_the_line_shot,tennis,offensive
deep_shot,tennis,neutral
deep_return,tennis,defensive
suprise_lob,tennis,offensive
drop_volley_at_net,tennis,offensive
drop_volley_at_setup,tennis,transition
drive_volley,tennis,offensive
tweener,tennis,offensive
backspin_stroke,tennis,defensive
underspin_stroke,tennis,defensive
slice_groundstroke,tennis,defensive
flat_groundstroke,tennis,neutral
aggresive_flat_groundstroke,tennis,offensive
crosscourt,tennis,neutral
down_the_middle_shot,tennis,neutral
baseline,tennis,neutral
singles_sideline,tennis,neutral
doubles_sideline,tennis,neutral
doubles_alley,tennis,neutral
tramline,tennis,neutral
service_lines,tennis,neutral
deuce_court,tennis,neutral
ad_court,tennis,neutral
centre_mark,tennis,neutral
clay_court,tennis,neutral
grass_court,tennis,neutral
hard_court,tennis,neutral
love,tennis,neutral
deuce,tennis,neutral
advantage,tennis,neutral
game_point,tennis,neutral
break_point,tennis,neutral
set_point,tennis,neutral
match_point,tennis,neutral
service_let,tennis,neutral
fault,tennis,error
out,tennis,error
rally,tennis,transition
exchange,tennis,transition
sitter_shot,tennis,offensive
inside_out_backhand,tennis,offensive
inside_in_backhand,tennis,offensive
drive_forehand,tennis,offensive
drive_backhand,tennis,offensive
topspin_lob_attack,tennis,offensive
aggresive_forehand,tennis,offensive
aggresive_backhand,tennis,offensive
net_rush,tennis,offensive
attacking_slice,tennis,offensive
heavy_topspin_drive,tennis,offensive
angle_winner,tennis,offensive
flat_backhand,tennis,offensive
flat_forehand,tennis,offensive
power_return,tennis,offensive
dictating_rally,tennis,offensive
inside_the_baseline_hit,tennis,offensive
net_putaway,tennis,offensive
defensive_lunge,tennis,defensive
deep_reset_ball,tennis,defensive
chopper_slice,tennis,defensive
bailout_slice,tennis,defensive
bailout_forehand,tennis,defensive
bailout_backhand,tennis,defensive
all,tennis,neutral
alley,tennis,neutral
backcourt,tennis,neutral
game,tennis,neutral
match,tennis,neutral
no_advantage,tennis,neutral
no_mans_land,tennis,neutral
overhead,tennis,neutral
poach,tennis,offensive
safety_poach,tennis,transition
point,tennis,neutral
receiver,tennis,neutral
serve,tennis,neutral
server,tennis,neutral
service_break,tennis,neutral
smash,tennis,offensive
spin,tennis,neutral
stroke,tennis,neutral
under_spin,tennis,neutral
doubles,tennis,neutral
singles,tennis,neutral
racket,tennis,neutral
winner,tennis,neutral
ball,tennis,neutral
strings,tennis,neutral
court,tennis,neutral
grip,tennis,neutral
hold_of_serve,tennis,neutral
break_of_serve,tennis,neutral
bagel,tennis,neutral
bread_stick,tennis,neutral
neutralize_the_rally,tennis,defensive
counterpuncher,tennis,defensive
association_of_tennis_players,tennis,neutral
international_tennis_federation,tennis,neutral
women's_tennis_association,tennis,neutral
grand_slam,tennis,neutral
masters_event,tennis,neutral
seeded_player,tennis,neutral
qualifier,tennis,neutral
wildcard,tennis,neutral
lucky_looser,tennis,neutral
walk_over,tennis,neutral
warning,tennis,error
time_violation,tennis,error
protected_ranking,tennis,neutral
career_slam,tennis,neutral
golden_slam,tennis,neutral
pusher,tennis,defensive
treeing,tennis,offensive
junk_ball,tennis,neutral
paint_the_lines,tennis,offensive
safinate_racket,tennis,neutral
neutral_ball,tennis,transition
rally_reset,tennis,transition
repositioning_shot,tennis,transition
midcourt_ball,tennis,transition
midcourt_pickup,tennis,transition
stepping_in,tennis,transition
step_back_shot,tennis,transition
recovery_ball,tennis,transition
recovery_shot,tennis,transition
slow_ball,tennis,transition
short_ball,tennis,transition
soft_ball,tennis,transition
weak_reply,tennis,transition
floating_ball,tennis,transition
change_of_direction_shot,tennis,transition
change_of_pace_shot,tennis,transition
neutralizing_return,tennis,transition
redirect_shot,tennis,transition
reset_point,tennis,transition
half_volley_setup,tennis,transition
approach_setup,tennis,transition
drop_shot_setup,tennis,transition
lob_setup,tennis,transition
volley_setup,tennis,transition
passing_shot_setup,tennis,transition
setup_winner,tennis,transition
ball_in_motion,tennis,transition
rally_setup,tennis,transition
follow_up_shot,tennis,transition
secondary_shot,tennis,transition
shot_on_the_rise,tennis,transition
take_the_ball_early,tennis,transition
stepping_into_ball,tennis,transition
ball_to_midcourt,tennis,transition
ball_to_net,tennis,error
neutral_position_shot,tennis,transition
baseline_reset,tennis,transition
midcourt_reset,tennis,transition
net_cord_error,tennis,error
foot_fault_serve,tennis,error
illegal_ball_contact,tennis,error
wrong_side_hit,tennis,error
double_bounce,tennis,error
misjudged_ball,tennis,error
late_reaction_error,tennis,error
racket_drop,tennis,error
overhit_shot,tennis,error
underhit_shot,tennis,error
shank_overhead,tennis,error
mistimed_volley,tennis,error
incorrect_grip,tennis,error
foul_touch,tennis,error
ball_out_of_bounds,tennis,error
mispositioning_error,tennis,error
bounce,tennis,neutral
brutalizer,tennis,error
follow_through,tennis,neutral
net_out,tennis,error
point_penalty,tennis,error
pull_the_trigger,tennis,offensive
racket_abuse,tennis,error
round_robin,tennis,neutral
stance,tennis,neutral
whiff,tennis,error
wide,tennis,error
wood_shot,tennis,error
hindrance_call,tennis,error
racket_slip,tennis,error
defensive_pole,tennis,defensive
retreat_volley,tennis,defensive
running_block,tennis,defensive
chase_ball,tennis,defensive
swing_path,tennis,neutral
topspin_backhand,tennis,offensive
kick_return,tennis,offensive
serve_and_rally,tennis,transition
follow_up_forehand,tennis,transition
follow_up_backhand,tennis,transition
slice_return,tennis,defensive
drop_shot_setup_volley,tennis,transition
step_into_forehand,tennis,transition
step_into_backhand,tennis,transition
net_approach_forehand,tennis,transition
net_approach_backhand,tennis,transition
defensive_lob_recovery,tennis,defensive
half_court_ball,tennis,neutral
high_volley,tennis,offensive
overhead_defensive,tennis,defensive
swing_error,tennis,error
body_miss,tennis,error
miscue,tennis,error
blocked_shot,tennis,defensive
crosscourt_volley,tennis,offensive
down_the_line_volley,tennis,offensive
defensive_slice_volley,tennis,defensive
approach_lob,tennis,transition
reset_volley,tennis,transition
weak_pass_shot,tennis,transition
double_hit,tennis,error
toss_error,tennis,error
serve_toss_mistake,tennis,error
racket_clash,tennis,error
net_touch_error,tennis,error
overhit_volley,tennis,error
unforced_net_error,tennis,error
defensive_chip_volley,tennis,defensive
recovery_half_volley,tennis,defensive
poach_attempt,tennis,offensive
open_court_shot,tennis,offensive
transition_volley,tennis,transition
neutral_slice,tennis,transition
shallow_ball,tennis,defensive
approach_volley,tennis,offensive
reset_lob,tennis,transition
backhand_block,tennis,defensive
service_box_violation,tennis,error
overtake,formula_1,offensive
defending,formula_1,defensive
retirement,formula_1,transition
red_flag,formula_1,neutral
yellow_flag,formula_1,neutral
safety_car,formula_1,neutral
virtual_safety_car,formula_1,neutral
dsq,formula_1,transition
disqualification,formula_1,transition
clean_air,formula_1,neutral
slip_stream,formula_1,neutral
tow,formula_1,offensive
drs,formula_1,neutral
mini_drs,formula_1,offensive
double_dsq,formula_1,transition
double_disqualification,formula_1,transition
spin_out,formula_1,error
contact,formula_1,error
understeer,formula_1,error
oversteer,formula_1,error
pit_window,formula_1,neutral
double_stacking,formula_1,neutral
unsafe_release,formula_1,error
grid_place_penalty,formula_1,transition
additional_power_unit_element,formula_1,transition
rnc,formula_1,neutral
restricted-number_components,formula_1,neutral
drop,formula_1,transition
speeding_in_the_pit_lane,formula_1,error
suspension,formula_1,transition
penalty_points,formula_1,neutral
crash,formula_1,error
plank_wear,formula_1,neutral
