Sport,Event,Category,,Category List:
Tennis,down_the_line_shot,Offensive,,
Tennis,deep_shot,Neutral,,
Tennis,deep_return,Defensive,,
Tennis,suprise_lob,Offensive,,
Tennis,drop_volley_at_net,Offensive,,
Tennis,drop_volley_at_setup,Transition,,
Tennis,drive_volley,Offensive,,
Tennis,tweener,Offensive,,
Tennis,backspin_stroke,Defensive,,
Tennis,underspin_stroke,Defensive,,
Tennis,slice_groundstroke,Defensive,,
Tennis,flat_groundstroke,Neutral,,
Tennis,aggresive_flat_groundstroke,Offensive,,
Tennis,crosscourt,Neutral,,
Tennis,down_the_middle_shot,Neutral,,
Tennis,baseline,Neutral,,
Tennis,singles_sideline,Neutral,,
Tennis,doubles_sideline,Neutral,,
Tennis,doubles_alley,Neutral,,
Tennis,tramline,Neutral,,
Tennis,service_lines,Neutral,,
Tennis,deuce_court,Neutral,,
Tennis,ad_court,Neutral,,
Tennis,centre_mark,Neutral,,
Tennis,clay_court,Neutral,,
Tennis,grass_court,Neutral,,
Tennis,hard_court,Neutral,,
Tennis,love,Neutral,,
Tennis,deuce,Neutral,,
Tennis,advantage,Neutral,,
Tennis,game_point,Neutral,,
Tennis,break_point,Neutral,,
Tennis,set_point,Neutral,,
Tennis,match_point,Neutral,,
Tennis,service_let,Neutral,,
Tennis,fault,Error,,
Tennis,out,Error,,
Tennis,rally,Transition,,
Tennis,exchange,Transition,,
Tennis,sitter_shot,Offensive,,
Tennis,inside_out_backhand,Offensive,,
Tennis,inside_in_backhand,Offensive,,
Tennis,drive_forehand,Offensive,,
Tennis,drive_backhand,Offensive,,
Tennis,topspin_lob_attack,Offensive,,
Tennis,aggresive_forehand,Offensive,,
Tennis,aggresive_backhand,Offensive,,
Tennis,net_rush,Offensive,,
Tennis,attacking_slice,Offensive,,
Tennis,heavy_topspin_drive,Offensive,,
Tennis,angle_winner,Offensive,,
Tennis,flat_backhand,Offensive,,
Tennis,flat_forehand,Offensive,,
Tennis,power_return,Offensive,,
Tennis,dictating_rally,Offensive,,
Tennis,inside_the_baseline_hit,Offensive,,
Tennis,net_putaway,Offensive,,
Tennis,defensive_lunge,Defensive,,
Tennis,deep_reset_ball,Defensive,,
Tennis,chopper_slice,Defensive,,
Tennis,bailout_slice,Defensive,,
Tennis,bailout_forehand,Defensive,,
Tennis,bailout_backhand,Defensive,,
Tennis,all,Neutral,,
Tennis,alley,Neutral,,
Tennis,backcourt,Neutral,,
Tennis,game,Neutral,,
Tennis,match,Neutral,,
Tennis,no_advantage,Neutral,,
Tennis,no_mans_land,Neutral,,
Tennis,overhead,Neutral,,
Tennis,poach,Offensive,,
Tennis,safety_poach,Transition,,
Tennis,point,Neutral,,
Tennis,receiver,Neutral,,
Tennis,serve,Neutral,,
Tennis,server,Neutral,,
Tennis,service_break,Neutral,,
Tennis,smash,Offensive,,
Tennis,spin,Neutral,,
Tennis,stroke,Neutral,,
Tennis,under_spin,Neutral,,
Tennis,doubles,Neutral,,
Tennis,singles,Neutral,,
Tennis,racket,Neutral,,
Tennis,winner,Neutral,,
Tennis,ball,Neutral,,
Tennis,strings,Neutral,,
Tennis,court,Neutral,,
Tennis,grip,Neutral,,
Tennis,hold_of_serve,Neutral,,
Tennis,break_of_serve,Neutral,,
Tennis,bagel,Neutral,,
Tennis,bread_stick,Neutral,,
Tennis,neutralize_the_rally,Defensive,,
Tennis,counterpuncher,Defensive,,
Tennis,association_of_tennis_players,Neutral,,
Tennis,international_tennis_federation,Neutral,,
Tennis,women's tennis association,Neutral,,
Tennis,grand_slam,Neutral,,
Tennis,masters_event,Neutral,,
Tennis,seeded_player,Neutral,,
Tennis,qualifier,Neutral,,
Tennis,wildcard,Neutral,,
Tennis,lucky_looser,Neutral,,
Tennis,walk_over,Neutral,,
Tennis,warning,Error,,
Tennis,time_violation,Error,,
Tennis,protected_ranking,Neutral,,
Tennis,career_slam,Neutral,,
Tennis,golden_slam,Neutral,,
Tennis,pusher,Defensive,,
Tennis,treeing,Offensive,,
Tennis,junk_ball,Neutral,,
Tennis,paint_the_lines,Offensive,,
Tennis,safinate_racket,Neutral,,
Tennis,neutral_ball,Transition,,
Tennis,rally_reset,Transition,,
Tennis,repositioning_shot,Transition,,
Tennis,midcourt_ball,Transition,,
Tennis,midcourt_pickup,Transition,,
Tennis,stepping_in,Transition,,
Tennis,step_back_shot,Transition,,
Tennis,recovery_ball,Transition,,
Tennis,recovery_shot,Transition,,
Tennis,slow_ball,Transition,,
Tennis,short_ball,Transition,,
Tennis,soft_ball,Transition,,
Tennis,weak_reply,Transition,,
Tennis,floating_ball,Transition,,
Tennis,change_of_direction_shot,Transition,,
Tennis,change_of_pace_shot,Transition,,
Tennis,neutralizing_return,Transition,,
Tennis,redirect_shot,Transition,,
Tennis,reset_point,Transition,,
Tennis,half_volley_setup,Transition,,
Tennis,approach_setup,Transition,,
Tennis,drop_shot_setup,Transition,,
Tennis,lob_setup,Transition,,
Tennis,volley_setup,Transition,,
Tennis,passing_shot_setup,Transition,,
Tennis,setup_winner,Transition,,
Tennis,ball_in_motion,Transition,,
Tennis,rally_setup,Transition,,
Tennis,follow_up_shot,Transition,,
Tennis,secondary_shot,Transition,,
Tennis,shot_on_the_rise,Transition,,
Tennis,take_the_ball_early,Transition,,
Tennis,stepping_into_ball,Transition,,
Tennis,ball_to_midcourt,Transition,,
Tennis,ball_to_net,Error,,
Tennis,neutral_position_shot,Transition,,
Tennis,baseline_reset,Transition,,
Tennis,midcourt_reset,Transition,,
Tennis,net_cord_error,Error,,
Tennis,foot_fault_serve,Error,,
Tennis,illegal_ball_contact,Error,,
Tennis,wrong_side_hit,Error,,
Tennis,double_bounce,Error,,
Tennis,misjudged_ball,Error,,
Tennis,late_reaction_error,Error,,
Tennis,racket_drop,Error,,
Tennis,overhit_shot,Error,,
Tennis,underhit_shot,Error,,
Tennis,shank_overhead,Error,,
Tennis,mistimed_volley,Error,,
Tennis,incorrect_grip,Error,,
Tennis,foul_touch,Error,,
Tennis,ball_out_of_bounds,Error,,
Tennis,mispositioning_error,Error,,
Tennis,bounce,Neutral,,
Tennis,brutalizer,Error,,
Tennis,follow_through,Neutral,,
Tennis,net_out,Error,,
Tennis,point_penalty,Error,,
Tennis,pull_the_trigger,Offensive,,
Tennis,racket_abuse,Error,,
Tennis,round_robin,Neutral,,
Tennis,stance,Neutral,,
Tennis,whiff,Error,,
Tennis,wide,Error,,
Tennis,wood_shot,Error,,
Tennis,hindrance_call,Error,,
Tennis,racket_slip,Error,,
Tennis,defensive_pole,Defensive,,
Tennis,retreat_volley,Defensive,,
Tennis,running_block,Defensive,,
Tennis,chase_ball,Defensive,,
Tennis,swing_path,Neutral,,
Tennis,topspin_backhand,Offensive,,
Tennis,kick_return,Offensive,,
Tennis,serve_and_rally,Transition,,
Tennis,follow_up_forehand,Transition,,
Tennis,follow_up_backhand,Transition,,
Tennis,slice_return,Defensive,,
Tennis,drop_shot_setup_volley,Transition,,
Tennis,step_into_forehand,Transition,,
Tennis,step_into_backhand,Transition,,
Tennis,net_approach_forehand,Transition,,
Tennis,net_approach_backhand,Transition,,
Tennis,defensive_lob_recovery,Defensive,,
Tennis,half_court_ball,Neutral,,
Tennis,high_volley,Offensive,,
Tennis,overhead_defensive,Defensive,,
Tennis,swing_error,Error,,
Tennis,body_miss,Error,,
Tennis,miscue,Error,,
Tennis,blocked_shot,Defensive,,
Tennis,crosscourt_volley,Offensive,,
Tennis,down_the_line_volley,Offensive,,
Tennis,defensive_slice_volley,Defensive,,
Tennis,approach_lob,Transition,,
Tennis,reset_volley,Transition,,
Tennis,weak_pass_shot,Transition,,
Tennis,double_hit,Error,,
Tennis,toss_error,Error,,
Tennis,serve_toss_mistake,Error,,
Tennis,racket_clash,Error,,
Tennis,net_touch_error,Error,,
Tennis,overhit_volley,Error,,
Tennis,unforced_net_error,Error,,
Tennis,defensive_chip_volley,Defensive,,
Tennis,recovery_half_volley,Defensive,,
Tennis,poach_attempt,Offensive,,
Tennis,open_court_shot,Offensive,,
Tennis,transition_volley,Transition,,
Tennis,neutral_slice,Transition,,
Tennis,shallow_ball,Defensive,,
Tennis,approach_volley,Offensive,,
Tennis,reset_lob,Transition,,
Tennis,backhand_block,Defensive,,
Tennis,service_box_violation,Error,,
